captured_at_utc,exchange_time,exchange_time_ms,asset,symbol,market_id,book_nonce,best_bid_px,best_bid_sz,best_bid_orders,best_ask_px,best_ask_sz,best_ask_orders,mid_px,spread_px,spread_bps,bid_depth_5_sz,bid_depth_5_notional,ask_depth_5_sz,ask_depth_5_notional,bid_depth_20_sz,bid_depth_20_notional,ask_depth_20_sz,ask_depth_20_notional
2026-04-29T03:32:33.627007Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.627007Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.628036Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.628036Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.628036Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.629083Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.629083Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.629083Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.630128Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.630128Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.630128Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.631173Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.631173Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.631173Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
2026-04-29T03:32:33.632218Z,2026-04-29T00:47:45.287475Z,1777423665287,BRENTOIL,BRENTOIL,159,10975073686,103.92,10.7166,0,103.93,64.65,0,103.92500000000001,0.010000000000005116,0.9622323791200496,3483.496,361870.26073599997,1526.7984000000001,158731.41101,39516.44960000001,4101361.896352,38978.4885,4055850.7349110004
