asset,hyper_source,hyper_symbol,lighter_symbol,rows,start_utc,end_utc,coverage_pct,mean_abs_basis_gap_bps,median_abs_basis_gap_bps,p90_abs_basis_gap_bps,p99_abs_basis_gap_bps,pct_abs_gap_le_025bps,pct_abs_gap_ge_5bps,direction_crosses,convergence_entries,divergence_to_convergence_events,hyper_overpriced_pct,lighter_overpriced_pct
GOOGL,xyz,GOOGL,GOOGL,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,8.739177117359075,6.729343165378654,18.481748397012332,28.866310315130434,2.11864406779661,60.16949152542372,23,4,4,75.0,24.576271186440678
HOOD,cash,HOOD,HOOD,139,2026-04-15 11:38:00+00:00,2026-04-15 14:41:00+00:00,75.54347826086956,23.124879175223484,12.300123001229846,51.23931861243181,145.6538434685478,0.7194244604316548,77.6978417266187,52,1,1,33.81294964028777,66.18705035971223
HOOD,xyz,HOOD,HOOD,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,16.082262541575975,12.650831780117166,41.297941457099306,54.26294188539918,0.8771929824561403,77.19298245614034,51,1,1,42.98245614035088,56.14035087719298
HYUNDAI,xyz,HYUNDAI,HYUNDAI,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,9993.145645536126,9993.185473354777,9993.2798625899,9993.281670617542,0.0,100.0,0,0,0,0.0,100.0
INTC,cash,INTC,INTC,260,2026-04-14 05:03:00+00:00,2026-04-15 14:41:00+00:00,12.877662209014364,30.404954955718832,27.550725299481105,61.963680585138015,120.3863799506895,0.38461538461538464,90.38461538461539,22,1,1,40.38461538461539,59.61538461538461
INTC,xyz,INTC,INTC,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,27.644973170910532,24.92503462867446,60.071474474521764,76.87424567783202,0.847457627118644,86.01694915254238,21,2,2,32.20338983050847,67.79661016949152
META,cash,META,META,260,2026-04-14 05:03:00+00:00,2026-04-15 14:41:00+00:00,12.877662209014364,9.598201117320622,6.506129871758359,22.454460882873395,47.57510144751978,2.6923076923076925,57.30769230769231,30,3,3,29.615384615384617,70.38461538461539
META,xyz,META,META,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,9.235055235192528,6.037350635912375,21.944302733848396,51.02658833504803,8.050847457627118,53.38983050847458,38,14,7,46.186440677966104,52.54237288135594
MSFT,cash,MSFT,MSFT,260,2026-04-14 05:03:00+00:00,2026-04-15 14:41:00+00:00,12.877662209014364,27.37638470305952,21.14324548818325,55.5655828584678,64.29933151770288,0.38461538461538464,93.07692307692308,13,1,1,13.076923076923078,86.92307692307692
MSFT,xyz,MSFT,MSFT,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,21.93333839897108,15.524740895871414,53.18051723693373,57.7508186576588,1.2711864406779663,77.96610169491525,25,3,3,17.796610169491526,81.77966101694916
MSTR,xyz,MSTR,MSTR,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,17.844184917893806,10.004446420630586,42.06372840976691,70.68475183402109,0.423728813559322,78.8135593220339,30,1,1,75.84745762711864,23.728813559322035
NATGAS,xyz,NATGAS,NATGAS,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,11.406923145781693,7.730731950845171,25.679976851853414,58.41471354166705,4.385964912280701,62.28070175438597,31,5,5,57.01754385964912,42.98245614035088
NVDA,km,NVDA,NVDA,251,2026-04-15 11:38:00+00:00,2026-04-15 17:12:00+00:00,74.92537313432835,7.321624228491474,5.255518294208228,15.443976084774658,36.86698653334486,2.3904382470119523,51.39442231075697,75,6,6,66.13545816733067,33.46613545816733
NVDA,cash,NVDA,NVDA,139,2026-04-15 11:38:00+00:00,2026-04-15 14:41:00+00:00,75.54347826086956,9.646081600528316,7.358539738668846,19.707217547523026,44.92581243448038,1.4388489208633095,71.22302158273382,22,2,2,79.13669064748201,20.14388489208633
NVDA,xyz,NVDA,NVDA,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,6.926871947578374,4.647364200412452,15.143757991009199,24.18709978400647,0.8771929824561403,48.24561403508772,34,1,1,52.63157894736842,47.368421052631575
NVDA,flx,NVDA,NVDA,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,7.992231552880192,6.855590679996082,16.59897580787484,26.007568197991706,1.7543859649122806,64.91228070175438,28,2,2,69.2982456140351,30.701754385964914
PALLADIUM,xyz,PALLADIUM,XPD,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,5.49882918276362,2.5116430013788493,12.461469262999959,32.265975060206735,1.7543859649122806,38.59649122807017,34,2,2,48.24561403508772,50.0
PALLADIUM,flx,PALLADIUM,XPD,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,7.532877282867985,4.559925368239903,15.677390060086728,41.14222781623728,4.385964912280701,48.24561403508772,20,5,5,48.24561403508772,47.368421052631575
SKHYNIX,xyz,SKHX,SKHYNIX,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,9993.355441445572,9993.319146645552,9993.490596882193,9993.557345068702,0.0,100.0,0,0,0,0.0,100.0
SNDK,xyz,SNDK,SNDK,15,2026-04-15 13:50:00+00:00,2026-04-15 14:08:00+00:00,78.94736842105263,102.3652738047526,106.6915501191712,127.71438253790411,154.58176039917956,0.0,100.0,0,0,0,100.0,0.0
TSLA,km,TSLA,TSLA,251,2026-04-15 11:38:00+00:00,2026-04-15 17:12:00+00:00,74.92537313432835,8.478130095367929,7.102639599153582,17.571101667210876,31.574247792497957,1.593625498007968,61.75298804780876,85,4,4,27.88844621513944,71.71314741035857
TSLA,cash,TSLA,TSLA,139,2026-04-15 11:38:00+00:00,2026-04-15 14:41:00+00:00,75.54347826086956,9.93437472344276,8.316972076789497,20.32220265926088,34.59663574365677,0.0,66.90647482014388,28,0,0,17.985611510791365,82.01438848920863
TSLA,flx,TSLA,TSLA,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,8.461240361877671,7.291175770180458,18.226190505074126,31.215806147525804,1.7543859649122806,57.89473684210527,34,2,1,22.807017543859647,76.31578947368422
TSLA,xyz,TSLA,TSLA,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,8.965942588749877,7.434877814494478,19.436642836118903,32.671792352429144,0.8771929824561403,62.28070175438597,20,1,1,14.035087719298245,85.96491228070175
USDJPY,xyz,JPY,USDJPY,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,3.553801015683971,3.2690627219988944,7.418257715301468,9.357692041718883,2.5423728813559325,22.88135593220339,6,2,2,44.91525423728814,55.08474576271186
