captured_at_utc,exchange_time,exchange_time_ms,asset,coin,best_bid_px,best_bid_sz,best_bid_orders,best_ask_px,best_ask_sz,best_ask_orders,mid_px,spread_px,spread_bps,bid_depth_5_sz,bid_depth_5_notional,ask_depth_5_sz,ask_depth_5_notional,bid_depth_20_sz,bid_depth_20_notional,ask_depth_20_sz,ask_depth_20_notional
2026-04-29T00:04:21.289111Z,2026-04-29T00:04:21.329000Z,1777421061329,SILVER,xyz:SILVER,73.57,2.61,1,73.583,850.0,2,73.5765,0.01300000000000523,1.7668684974149669,160.82999999999998,11831.671639999997,3410.8700000000003,250987.84089,4330.6,318525.75212,18014.650000000005,1325780.44256
2026-04-29T00:04:22.271526Z,2026-04-29T00:04:21.860000Z,1777421061860,SILVER,xyz:SILVER,73.569,0.14,1,73.574,250.0,1,73.5715,0.0049999999999954525,0.679610990668323,300.42,22100.097999999998,2476.0699999999997,182181.77846,7060.900000000001,519295.3118,16603.699999999997,1221792.3922
2026-04-29T00:04:23.089790Z,2026-04-29T00:04:22.934000Z,1777421062934,SILVER,xyz:SILVER,73.572,848.65,2,73.576,0.14,1,73.574,0.003999999999990678,0.5436703183177043,1866.3400000000001,137306.12375,258.2,18999.84266,12665.51,931640.7505499999,14826.05,1091147.7902099998
2026-04-29T00:04:24.001705Z,2026-04-29T00:04:24.044000Z,1777421064044,SILVER,xyz:SILVER,73.583,48.46,2,73.592,0.27,1,73.5875,0.009000000000000341,1.2230338032954429,1215.9,89468.03046,92.06000000000002,6775.14735,15430.740000000002,1135187.33027,10053.710000000001,740042.90199
2026-04-29T00:04:25.057357Z,2026-04-29T00:04:24.545000Z,1777421064545,SILVER,xyz:SILVER,73.589,11.51,1,73.593,163.05,1,73.59100000000001,0.0040000000000048885,0.543544726937382,415.86,30599.47335,493.09,36288.686949999996,12805.43,942045.09865,9863.22,726018.06137
2026-04-29T00:04:26.000956Z,2026-04-29T00:04:25.629000Z,1777421065629,SILVER,xyz:SILVER,73.586,37.72,2,73.587,33.97,1,73.5865,0.0010000000000047748,0.13589449151743524,305.13,22451.82966,347.56000000000006,25578.077620000004,11841.550000000001,871165.87491,11342.19,834882.70538
2026-04-29T00:04:27.000516Z,2026-04-29T00:04:26.706000Z,1777421066706,SILVER,xyz:SILVER,73.595,850.0,2,73.596,0.14,1,73.5955,0.0010000000000047748,0.13587787296842535,4002.04,294522.37971999997,98.39,7241.72007,18126.57,1333858.28856,2670.49,196597.99735000002
2026-04-29T00:04:28.000813Z,2026-04-29T00:04:27.789000Z,1777421067789,SILVER,xyz:SILVER,73.602,33.78,3,73.606,33.96,1,73.604,0.003999999999990678,0.5434487256114718,4833.23,355707.91168,261.39,19240.6272,19243.129999999997,1416069.7831799996,7801.869999999999,574398.26935
2026-04-29T00:04:29.000777Z,2026-04-29T00:04:29.471000Z,1777421069471,SILVER,xyz:SILVER,73.58,0.14,1,73.583,600.0,1,73.5815,0.0030000000000001137,0.4077111774019439,1136.47,83609.94864999999,3540.16,260503.75392,19055.140000000003,1401641.9921099998,12523.919999999998,921717.7440399999
2026-04-29T00:04:30.463215Z,2026-04-29T00:04:30.559000Z,1777421070559,SILVER,xyz:SILVER,73.583,33.65,1,73.592,13.85,2,73.5875,0.009000000000000341,1.2230338032954429,3218.3500000000004,236778.65112,586.21,43142.51246,14324.340000000002,1053766.12377,11200.21,824386.4968500001
